101504991,ACS Appl Mater Interfaces
101313589,ACS Nano
101247110,Acta Chim Slov
9885358,Adv Mater
9306253,Appl Radiat Isot
0002256,Arch Kriminol
8307156,Carbohydr Polym
0373152,Chimia (Aarau)
101609393,IEEE Trans Cybern
9886191,IEEE Trans Image Process
9885960,IEEE Trans Pattern Anal Mach Intell
9882735,IEEE Trans Ultrason Ferroelectr Freq Control
9891704,IEEE Trans Vis Comput Graph
0374750,ISA Trans
9707935,J Magn Reson
9105850,J Magn Reson Imaging
8706313,J Microw Power Electromagn Energy
101088195,J Nanosci Nanotechnol
101165248,J Phys Condens Matter
9888878,J Synchrotron Radiat
101236535,J Zhejiang Univ Sci B
101088070,Nano Lett
101525249,Nanoscale
101241272,Nanotechnology
101137103,Opt Express
101136452,Phys Rev E Stat Nonlin Soft Matter Phys
9886009,Prog Nucl Magn Reson Spectrosc
19620690R,Rep Prog Phys
0411361,Sci Prog
101563288,Sci Rep
101204366,Sensors (Basel)
2984816R,Talanta
0050452,Ultrasonics
